Title	Lyrics	Value
A garland for our fairest (John Liptrot Hatton)	"A garland for our fairest, For her we love so well, We'll weave with flowers the rarest In garden and in dell. The daisy, like her gentle heart, So modest, pure and meek; The rose to match the blushing bloom That decks her dainty cheek, that decks her dain- ty cheek, her dainty cheek. Thus blooming, sweetly blooming, Our garland bright shall go! Ah! when she sees We fain would please, Will she one smile bestow, will she one smile bestow, one smile, will she one smile bestow, will she one smile bestow, one smile bestow, one smile bestow, one smile, will she one smile bestow! The lily, like her fingers white, Whose lightest touch we prize! And violets for the liquid light, Within her dark blue eyes. But oh! no flower beneath the sun Can e'er to her impart The changeless love whose tendrils cling So closely round each heart, whose tendrils cling so closely round each heart. Thus blooming, sweetly blooming, Our garland bright shall go! Ah! when she sees We fain would please, Will she one smile bestow, will she one smile bestow, one smile, will she one smile bestow, will she one smile bestow, one smile bestow, one smile bestow, one smile, will she one smile bestow!"	0.994198086
A king there was in Thule (Robert Lucas Pearsall)	"A king there was in Thule, Right faithful to the grave, To whom his dying true- rilove A golden goblet gave. He drank out of none other, So high he did it prize; He never raised it to his lips But tears came to his eyes."	0.57596725
A psalm of life (Henry Thomas Smart)	"Tell me not, in mournful numbers, Life is but an empty dream! For the soul is dead that slumbers, And things are not what they seem, And things are not what they seem. Life is real! Life is earnest! And the grave is not its goal; Dust thou art, to dust returnest, Was not spoken of the soul, Was not spoken of the soul. Not enjoyment and not sorrow Is our destined end or way; But to act that each tomorrow Finds us farther than to- day, Finds us farther than today; Art is long, and Time is fleeting, And our hearts, though stout and brave, Still like muffled drums are beating Funeral marches to the grave, Funeral marches to the grave."	0.161960083
A rose-bud (Joachim Kelecom)	"all on a dewy morning it scents the early morning. 2. in the bush her covert nest A little linnet fondly prest, The dew sat chilly on her breast Sae early in the morning. She soon shall see her tender brood The pride, the pleasure o' the wood Amang the fresh green leaves bedew'd, Awake the early morning. 3. thou, young bird, young Jeany fair, On trembling string or vocal air Shall sweetly pay the tender care That tents thy early morning. So thou, sweet rosebud young and gay, Shalt beauteous blaze upon the day And bless the parents' evening ray That watch'd thy early morning."	0.556772839
A satyr once did run away (John Ward)	"A sa- tyr once did run away, did run away, did run away for dread, at sound of horn, at sound of horn, which he himself did blow, did blow! blow, fearing and fear- ed, fearing and feared, thus from himself he fled, he fled, deem- ing strange evil, deeming strange evil, deeming strange evil in that he did not know. Fearing and fear- know."	0.048313965
A silly sylvan (Orlando Gibbons)	"A silly Sylvan, kissing heav'nborn fire, Scorched his lips for his so fond desire: I, not so fond, but gazed whilst such fire burned, And all my heart straight into flames was turned, And all my heart straight into flames was turned, And all my heart straight into flames was turned, And all my heart straight into flames was turned, And all my heart And all my heart straight into flames was turned, was turned. His fire was stol'n, and stol'n things go amiss; and stol'n things go amiss; But I, alas! unjustly, But I, alas! unjustly, But I, alas! unjustly; for to have her, Her heav'nly fire the Gods and Graces gave her, the Gods and Graces gave her, the Gods and Graces gave her, the Gods and Graces gave her, the Gods and Graces gave her."	0.282499367
A song for the seasons (Henry Thomas Smart)	"When the merry lark doth gild With his song the summer hours, And their nests the swallows build In the roofs and tops of towers; And the golden gorseflower burns about the waste, And the maiden May returns With a pretty haste, May returns With a pretty haste, Then how mer- ry are the times, the summer times, the spring times. Now the chilly midnight cricket crieth, And all merry birds are gone, And our dream of pleasure dieth. Now the once blue laughing sky, Saddens into gray, And the frozen rivers sigh, Pining all away, Now how solemn are the times, The winter times, the night times. The winter times, the night times. Yet be merry; all around Is through one vast change revolving; Even Night who lately frowned, Is in silver dawn dissolving, is in sil- ver dawn dissolv- ing. Earth will burst her fetters, And in spring grow free, All things in the world will change, All things in the world will change, Save my love to thee, save my love to thee, all things in the world will change, save my love to thee. Then hopeful are all times, Sing then, summer, winter, spring times."	0.935146582
About the maypole (Thomas Morley)	"About the Maypole new, With glee and merriment, With glee and merriment, While as the bagpipe tooted it. Thirsis and Cloris, Thirsis and Cloris, fine together footed it. Fa la la, fa la la, fa la la, fa la la la la la la la la la la, fa la la la la la la la. A la. And to the wanton instrument still they went to and fro, both, and finely flaunted it. And then both met again, and then both met again, and then both met again, And thus they chanted it, and thus they chanted it. Fa la la la la la la la la la la, fa la la la la, fa la la la la la la la la la la la la la la, fa la la la la. And la."	0.851300856
Absence (John Liptrot Hatton)	"Though long years have passed away, And joyous summer left me, Though Autumn sings her plaintive lay, Yet art thou still dear, still dear to me. me. Though far away thy voice is ever near to me; Absence but makes thee dear- er to me. No time can change my love for thee."	0.353071433
Adieu to the woods (Seymour John Grey Egerton)	"How beauteous liest thou sleeping, Thou fragrant, leafy hill! Through the fern the roe is leaping, And thrushes joyful trill. Ah! me, how oft I've wandered Beneath yon silv'ry pine, And dreaming, idly pon- dered, While du youth and hope were mine, how oft, how oft Your leaves sweet echoes murmur, Your whisp'ring love songs tell; I must away for ever, Sweet wood, so fare thee well! Ah! lovely, lonely moments, Where shall I find ye now? In sorrow and in darkness, My silent tears o'erflow. The wood is calmly lying, The deer is 'neath the fern; Whence comes yon gentle sigh- ing, To soothe my sad con- cern? yon gentle sighing? ""I'll watch o'er thee, though parted, Though storms be fierce and wild, Then be not brokenhearted, My own be- loved child!"""	0.516216647
"Adieu, sweet Amaryllis (John Wilbye)"	"Adieu, Adieu, Adieu, sweet Amaryllis, Adieu, sweet Amaryllis, Adieu, Adieu, Adieu, sweet Amaryllis, For since to part, to part your will is, O hea vy tid ing, Here is for me no biding. Yet once again, yet once again, again, ere that I part with you, yet once again, yet once again, again, ere that I part with you, Amaryllis, Amaryl lis, sweet, Adieu, Adieu, Adieu, Adieu, sweet Amaryllis, Amaryl lis, sweet, Adieu."	0.80750062
Ah silly Soul (William Byrd)	"Ah silly Soul, ah silly Soul, how are thy thoughts confounded betwixt two loves, that far, that far unlikely are? Lust’s love is blind, and by no reason bounded. Heaven’s love is clear, and fair, and fair beyond compare. No wonder, no wonder, though this love, this love light not thy mind, whilst looking through, whilst looking through false love thine eyes are blind, thine eyes are blind. blind."	0.920885343
Ah! How Sophia can you leave (John Wall Callcott)	"Ah! how Sophia, can you leave, can you leave your lover, your lover, and of hope bereave? Go fetch the Indian's borrowed plume, yet richer far than that you bloom, I'm but a lodger in your heart, in your heart; and more than me I fear have part, I'm but a lodger, I'm but a lodger, I'm but a lodger, I'm but a lodger, I'm but a lodger, I'm but a lodger in her heart, Ah how So phia, Ah how Sophia, Ah how Sophia, ah how Sophiaphiaphia, ah how Sophiaphiaphia, ah how Sophiaphiaphia, ah how Sophiaphiaphia, ah how Sophia, ah how Sophia can you leave,"	0.33355167
"Ah, Cupid grant that I may never see (Thomas Bateson)"	"Ah, Cupid grant that I may never see, may never see her through mine ear, that thus hath wounded me, her through mine ear, that thus hath wounded me, if through mine eyes another wound she give, Cupid, alas, Cupid, alas, then I no longer live, no longer live, but die, poor wretch, shot through and through the liver, with those sharp arrows she stole from thy quiver, she stole from thy quiver, from thy quiver, quiver."	0.034744756
"Ah, cruel hateful fortune (George Kirbye)"	"Ah! cruel, hateful fortune! Ah! cruel, hateful for- tune! Now must I death impor- tune, Since that I am of all my hope depri- ved, Nor but for sor- row had my soul survived, had my soul survived. Only this hope doth rest for my contentment, That fortune, tir'd, will yield me some amendment, that fortune, tir'd, will yield me some amendment, that fortune, tir'd, will yield me some amendment. Only this hope doth rest for my contentment, That fortune, tir'd, will yield me some amendment, that fortune, tir'd, will yield me some amend- ment."	0.382529177
Alas that e'er I knew this hour (Samuel Webbe)	"Alas that e'er I knew this hour, Can then Da- mon be severe? Alas! can then Damon be severe? Yes, yes. From love, from love the contest rose, From love's too jealous eye, A transient discord soon to close In sweet- est har- mony, A tran- sient discord soon to close In sweetest harmony, In sweetest harmony, the contest rose From love's too jealous eye, From love the contest rose, A tran- sient dis- cord soon to close, In sweet- est harmony, in sweet- est harmony, in sweet- est har- mony."	0.931915034
All creatures now are merry-minded (John Bennet)	"All creatures now are merry, merry, merry, minded, are merry, merry, merry, merry, merry, merry, merry, merryminded. The shepherds' daughters playing, the shepherds' daughters playing, The nymphs are falalaing, the nymphs are falalaing, the nymphs are falalalala- ing. Yond bugle was well wind- ed. At Oriana's presence each thing smileth. The flowers themselves discover, the flowers themselves discover; Birds over her do ho- ver; Music the time beguileth, music the time beguileth. See where she comes, see where she comes with flow'ry garlands crowned, Queen of all queens renowned, queen of all queens renowned. Then sang the shepherds and nymphs of Diana, nymphs of Diana: Long live fair Oriana, Oria na, fair Oriana; long live fair Oria na."	0.860823869
All is not gold (William Joseph Westbrook)	"All is not gold that shineth bright in show, Not ev'ry flower so good as fair, so good as fair, as fair to sight, The deepest streams above do calmly flow, do calmly flow, And strongest poisons oft the taste delight. All is not gold that shineth bright in show, Not ev'ry flower so good as fair to sight, The deepest streams above do calmly flow, And strongest poisons oft the taste delight. The pleasant bait doth hide the harmful hook. And false deceit can lend a friend- ly look."	0.945356469
All is still (George Alexander Macfarren)	"All is still, the night comes creeping, And its curtains gently close, O'er the winds that calmly sleeping On the glassy sea re- pose, O'er the winds that calmly sleeping On the glassy sea repose. Now the moon is softly beam- ing Through her light and misty veil; Sure of grief she must dream, Or she would not look so pale. All is still, the night comes creeping, And its curtains gently close, O'er the winds that calmly sleeping On the glass y, glassy sea repose, that calmly sleeping On the glassy sea re- pose. All is still, and without motion Lies the sea's unruffled breast; Yet within I hear the ocean, That will never, ne- ver rest, Yet within I hear the ocean, That will never, never rest. For my heart, unchecked, unguid- ed, On the waves of doubt is tossed; When the storm is at rest, Then the vessel will be lost. All is still, and without motion Lies the sea's unruffled breast; Yet within I hear the ocean, That will ne- ver, never, never rest, I hear the ocean, That will never, never rest."	0.004494093
All pleasure is of this condition (John Wilbye)	"All pleasure is of this condition, It pricks men for- ward to fruition, all pleasure is of this condition, it pricks men forward to fruition, it pricks men for- ward to fruition, But if enjoy'd, then like the hum- ming bee, then like the hum- ming bee, then like the hum- ming bee, The honey be- ing shed, away doth flee, away doth flee; But leaves a sting, that wounds the inward heart, But leaves a sting, that wounds the inward heart, but leaves a sting, that wounds the inward heart, the inward heart, With gnawing grief and neverend- ing smart, with gnaw- ing grief and neverend- ing smart, with gnaw- ing grief and neverend- ing smart, with gnawing grief and neverend- ing smart."	0.110612971
All poor men (Steve Draper)	"All poor men and humble, all lame men who stumble, come haste ye, Come haste ye nor feel ye afraid. For Jesus our treasure with love without mesure in lowly poor manger is laid. Though wise men, wise men who found Him laid rich gifts, rich gifts, rich gifts around Him, yet oxen they gave Him their hay. And Jesus, Jesus in beauty accepted their duty. Then haste we to show Him the praises we owe Him: our service, our service He ne'er can despise. Whose love is still able to show us that stable where softly,where softly, where softly where softly in manger He lies."	0.527869592
"All ye, whom love or fortune hath betrayed (John Dowland)"	"All ye whom love or for- tune hath betrayed, All ye that dream of bliss, but live in grief, All ye whose hopes are ever more delayed, All ye whose sighs, whose sighs or sickness wants relief: Lend ears and tears to me, most hapless man, That sings my sor- rows, that sings my sorrows like the dying swan. swan."	0.530611891
Allan Water (Henry Elliot Button)	"On the banks of Allan Water, When the sweet spring tide did fall, Was the miller's lovely daughter Fairest of them all. For his bride a soldier sought her, And a winning tongue had he, On the banks of Allan Water None so gay as she. On the banks of Allan Water, When brown autumn spreads its store, There I saw the miller's daughter, But she smiled no more. For the summer grief had brought her, And a soldier false was he; On the banks of Allan Water, None so sad as she. On the banks of Allan Water, When the wintry snow fell fast, Still was seen the miller's daughter; Chilling blew the blast. But the miller's lovely daughter Both from cold and care was free; On the banks of Allan Water, There a corse lay she."	0.395725176
Allen-a-Dale (Charles Harford Lloyd)	"AllenaDale has no faggot for burning, AllenaDale has no furrow for turning, AllenaDale has no fleece for the spinning, Yet Al- lenaDale has red gold for the winning, AllenaDale has red gold for the winning, Come, read me a riddle! come, hearken my tale! And tell me the craft of bold AllenaDale. The Baron of Ravensworth prances with pride, And he views his domain upon Arkindale side, The mere for his net, and the land for his game, The chase for the wild, and the park for the tame; Yet the fish of the lake, and the deer of the vale, Are less free to Lord Dacre than AllenaDale. AllenaDale was ne'er belted a knight, Though his spur be as sharp and his blade be as bright; AllenaDale is no baron or lord; Yet twenty tall yeomen will draw at his word; And the best of the nobles his bon- net will vail, Who at Rerecross on Stanmore meets Allen- adale. The mother, she asked of his household and home. "" 'Tis the blue vault of heaven with its crescent so pale, And with all its bright spangles,"" said AllenaDale. The father was steel, and the mother was stone; They lifted the latch, and they bade him be gone. But loud on the morrow their wail and their cry: He had laughed on the lass with his bonny black eye. And she fled to the forest to hear a love tale, and she fled to the forest to hear a love tale, and she fled to the forest to hear a love tale: And the youth it was told by, the youth it was told by, the youth it was told by was AllenaDale, And she fled to the forest to hear a love tale, and she fled to the forest to hear a love tale: And the youth it was told by, the youth it was told by was AllenaDale."	0.671219549
Already snow has fallen (Robert Franz)	"Already snow has fallen, Though winter is not come; No farther can I tra- vel, The way that leads me home. Alas! my home is roofless, Decayed and quite grown old, Nor door nor window remain- ing, Its chambers dark and cold. Ah! love, on me take pity, For I am full of woe; Enfold me within thine arms, love, within thine arms, love, And bid chill winter go, and bid chill winter go."	0.428790627
Although the heathen poets (William Byrd)	"Although the heathen poets did Apollo famous praise, as one who for his Music sweet, no peer had in his days, no peer had in his days. Although the heathen, poets did"	0.738705424
Ambitious love (William Byrd)	"Ambitious love hath forced me to aspire, the beauties rare which do adorn thy face: Thy modest life yet bridles my desire, whose severe law doth promise me no grace. But what? may love live under any law? No, no: his power exceedeth man’s conceit: Of which the Gods themselves do stand in awe, for on his frown, a thousand torments wait. Proceed then in this desperate enterprise, with good advice, and follow love thy guide, that leads thee to thy wished Paradise, to thy wished Paradise, Paradise. Thy climbing thoughts, this comfort take withal, that if it be, thy foul disgrace to slide, thy brave attempt, shall yet excuse thy fall, thy brave attempt shall yet excuse thy fall, shall yet excuse thy fall."	0.340102734
Amidst the myrtles (Jonathan Battishill)	"Amidst the myr- tles as I walk, Love and myself thus en- ter talk, talk, Tell me, said I, in deep distress, Where, where I may find my shep- herdess. ess."	0.354304367
Among the daffadillies (Giles Farnaby)	"Among the daffadillies, and fair white spen- dent lilies, the god of love, the god of love came creeping, where Dian's nymphs lay sleeping, lay sleeping; he bent his bow, he bent his bow but miss'd his footing, miss'd his footing, he bent his bow but miss'd his foot- ing, and loosing, lost both labour, shaft and shoot- ing. He -ing."	0.79199647
Amyntas with his Phyllis fair (Francis Pilkington)	"Amyntas with his Phyllis fair, Amyntas with his Phyl lis fair, Amyntas with his Phyllis fair, in height of summer's sun, in height of summer's sun, in height of summer's sun, Graz'd arm in arm, graz'd arm in arm their snowy flock; and scorching heat, scorching heat to shun, Under a spreading elm sat down, under a spreading elm sat down. Where, love's delightments done, ""Down, down, down, down, down, down, dil ly down, dilly down, down, dilly down,"" Thus did they sing: ""There is no life like ours, no life like ours, No heav'n on earth to shepherds' cells, to shepherds' cells, to shepherds' cells, no hell to princely bow'rs."""	0.740911667
An Old Man (Cheryl Lynn Helm)	"Ooo Ooo Ooo Ah (sigh) Two Owls and a Hen, four Larks and a Wren, Have all built their nests in my beard!"" Ah deedeet deedeet deedeet deedeet deedeet deedeet deedeet deedeet (pitch ""Have all built their nests in my beard!"" Ooo Ooo Ooo Ooo When they said, ""Does it buzz?"" he replied, ""Yes, it does! It's a regular brute of a Bee!"" Ah What a buzz, that bee did, that bee did buzz! zzz zzz zzz zzz zzz zzz zzz zzz (pitch ""It's a regular brute of a Bee!"" Ooo Ooo Ooo Ooo There was an old man who pos'd That the street door was partially clos'd But some very large rats, ate his coats and his hats, While that futile old gentleman doz'd. While that futile old gentleman doz'd. Ah la la la la la la la la la la la la la la la la (pitch La la la, La la la, La la la..."	0.477550585
And must I needs depart then (Thomas Bateson)	"And must I needs depart, then, and must I needs depart, then, and must I needs depart, then? Can pity none come nigh her, can pity none come nigh her, can pity none come nigh her, can pity none come nigh her? Farewell, farewell, farewell, alas, desert then, desert then, farewell, alas, desert then, farewell, alas, desert then: O break asunder, heart, to satisfy her, O break asunder, heart, to satisfy her, to satisfy her, to satisfy her, to satis- fy her, to satisfy her. Farewell, her."	0.017033218
And think ye Nymphs to scorn at love - Love is a fit of pleasure (William Byrd)	"Love is a fit of pleasure, bred out of Idle brains, his fancies have no measure, no more than have his pains: his vain affections like the weather, like the weather, precise or fond, we wot not whether, we wot not whether."	0.448844205
And though my love abounding (John Wilbye)	"And though my love abounding, Did make me fall a sounding, did make me fall a sounding, Yet am I well contented, yet am I well contented, still so to be torment- ed, yet am I well contented, still so to be tor- ment- ed, still so to be tormented; And death can never fear me as long as you are near me, and death can never fear me as long as you are near me."	0.195360617
